投诉编号,投诉品牌,投诉车系,投诉车型,问题简述,典型问题,投诉时间,投诉状态
571052,长安福特,翼虎,2019款 EcoBoost 180 两驱 豪翼型 国V,长安福特翼虎低温时后悬架有异响现象,前后桥及悬挂系统悬挂故障,2021-02-07,厂家受理
571050,长安福特,探险者,2020款 EcoBoost 285 四驱 钛金版 7座,长安福特探险者行驶时汽油箱有异响,车身附件及电器车身生锈车身附件及电器汽油箱异响,2021-02-07,厂家受理
571046,一汽-大众,迈腾,2020款 330TSI DSG 豪华型,一汽大众迈腾怠速时发动机有异响现象,发动机异响,2021-02-07,信息审核
571041,上汽集团,荣威360,2015款 1.5L   手动 豪华版,上汽荣威360行驶时前减震器和底盘异响,前后桥及悬挂系统减震器异响前后桥及悬挂系统底盘异响,2021-02-07,信息审核
571039,北京奔驰,奔驰E级,2019款 E 300 L 运动时尚型 改款,北京奔驰E级正常行驶过程中轮毂开裂,车身附件及电器轮毂问题,2021-02-07,信息审核
571037,东风标致,标致308S,2015款 1.2T 自动 劲驰版,东风标致308S更换正时皮带后发动机烧机油,发动机烧机油,2021-02-07,信息审核
571036,东风日产,启辰R50,2015款 1.6L 自动 时尚版,东风启辰R50发动机漏防冻液要求厂家处理,发动机漏防冻液,2021-02-07,信息审核
571035,北京现代,悦动,2018款 1.6L 自动 悦目版 GL 国V,北京现代悦动方向盘异响转向沉重维修未解决,转向系统异响转向系统打方向沉重,2021-02-07,信息审核
571034,一汽奔腾,奔腾X40,2019款 1.6L 手动 舒适型 国V,一汽奔腾X40发动机缸盖损坏导致抖动,发动机抖动,2021-02-07,信息审核
571033,华晨中华,中华V3,2017款 1.5L 自动 智能型,华晨中华V3保修配件半年一直未到货,配件争议无零配件,2021-02-07,信息审核
571030,东风本田,INSPIRE,2019款 260TURBO 精致版 国V,东风本田INSPIRE行驶中失速容易熄火,发动机故障灯亮发动机熄火发动机动力消失,2021-02-07,信息审核
571028,东风日产,奇骏,2021款 2.5L CVT 4WD XL ITS 豪华 领航版,东风日产奇骏新车车内有金属摩擦异响,车身附件及电器车内异响,2021-02-07,信息审核
